fact_card_key,customer_key,card_id,card_type,card_status,issue_date,expiry_date,credit_limit,utilization_pct,activation_flag
31,28,CARD0000000031,DEBIT,ACTIVE,2021-09-14,2026-09-13,0.0,0.0,True
32,29,CARD0000000032,DEBIT,EXPIRED,2021-07-12,2026-07-11,0.0,0.0,True
33,30,CARD0000000033,DEBIT,ACTIVE,2025-03-19,2030-03-18,0.0,0.0,True
34,31,CARD0000000034,CREDIT_GOLD,ACTIVE,2024-10-15,2029-10-14,50000000.0,5.58,True
35,32,CARD0000000035,DEBIT,ACTIVE,2024-04-30,2029-04-29,0.0,0.0,True
36,33,CARD0000000036,DEBIT,ACTIVE,2024-08-24,2029-08-23,0.0,0.0,True
37,34,CARD0000000037,DEBIT,ACTIVE,2023-08-28,2028-08-26,0.0,0.0,True
38,34,CARD0000000038,CREDIT_STANDARD,ACTIVE,2022-11-02,2027-11-01,50000000.0,18.72,True
39,35,CARD0000000039,DEBIT,ACTIVE,2022-05-06,2027-05-05,0.0,0.0,True
40,36,CARD0000000040,CREDIT_PLATINUM,ACTIVE,2024-12-14,2029-12-13,30000000.0,13.18,True
41,36,CARD0000000041,DEBIT,ACTIVE,2025-08-01,2030-07-31,0.0,0.0,True
42,37,CARD0000000042,CREDIT_GOLD,ACTIVE,2023-04-05,2028-04-03,50000000.0,55.69,False
43,37,CARD0000000043,CREDIT_STANDARD,ACTIVE,2022-11-02,2027-11-01,200000000.0,54.65,True
44,38,CARD0000000044,DEBIT,ACTIVE,2024-03-09,2029-03-08,0.0,0.0,True
45,38,CARD0000000045,DEBIT,ACTIVE,2022-05-12,2027-05-11,0.0,0.0,True
46,40,CARD0000000046,DEBIT,ACTIVE,2024-05-26,2029-05-25,0.0,0.0,True
47,41,CARD0000000047,DEBIT,ACTIVE,2022-01-25,2027-01-24,0.0,0.0,True
48,42,CARD0000000048,CREDIT_GOLD,ACTIVE,2024-05-01,2029-04-30,120000000.0,80.37,True
49,42,CARD0000000049,CREDIT_GOLD,ACTIVE,2022-07-03,2027-07-02,50000000.0,80.68,True
50,43,CARD0000000050,DEBIT,ACTIVE,2025-12-04,2030-12-03,0.0,0.0,True
51,44,CARD0000000051,DEBIT,ACTIVE,2024-10-11,2029-10-10,0.0,0.0,True
52,46,CARD0000000052,CREDIT_STANDARD,BLOCKED,2021-11-13,2026-11-12,120000000.0,28.75,True
53,47,CARD0000000053,DEBIT,ACTIVE,2025-08-30,2030-08-29,0.0,0.0,True
54,47,CARD0000000054,DEBIT,ACTIVE,2022-11-18,2027-11-17,0.0,0.0,True
55,52,CARD0000000055,DEBIT,ACTIVE,2026-05-29,2031-05-28,0.0,0.0,True
56,53,CARD0000000056,CREDIT_STANDARD,EXPIRED,2021-07-25,2026-07-24,200000000.0,26.14,True
57,53,CARD0000000057,DEBIT,ACTIVE,2023-07-10,2028-07-08,0.0,0.0,True
58,54,CARD0000000058,CREDIT_GOLD,ACTIVE,2021-11-12,2026-11-11,50000000.0,3.71,False
59,56,CARD0000000059,CREDIT_PLATINUM,ACTIVE,2025-09-16,2030-09-15,50000000.0,49.27,True
60,57,CARD0000000060,CREDIT_STANDARD,ACTIVE,2026-02-14,2031-02-13,30000000.0,77.26,False
61,57,CARD0000000061,DEBIT,ACTIVE,2021-12-20,2026-12-19,0.0,0.0,True
62,58,CARD0000000062,DEBIT,ACTIVE,2025-08-06,2030-08-05,0.0,0.0,True
63,60,CARD0000000063,DEBIT,ACTIVE,2023-10-15,2028-10-13,0.0,0.0,True
64,61,CARD0000000064,DEBIT,ACTIVE,2025-01-01,2029-12-31,0.0,0.0,True
65,62,CARD0000000065,CREDIT_GOLD,ACTIVE,2022-11-05,2027-11-04,120000000.0,44.16,False
66,63,CARD0000000066,DEBIT,BLOCKED,2025-01-04,2030-01-03,0.0,0.0,True
67,65,CARD0000000067,CREDIT_PLATINUM,ACTIVE,2023-03-01,2028-02-28,30000000.0,64.6,True
68,65,CARD0000000068,DEBIT,ACTIVE,2024-12-27,2029-12-26,0.0,0.0,True
69,66,CARD0000000069,DEBIT,ACTIVE,2024-09-08,2029-09-07,0.0,0.0,True
70,67,CARD0000000070,DEBIT,BLOCKED,2026-06-09,2031-06-08,0.0,0.0,True
71,67,CARD0000000071,CREDIT_STANDARD,ACTIVE,2023-08-21,2028-08-19,20000000.0,55.11,False
72,69,CARD0000000072,DEBIT,EXPIRED,2021-06-07,2026-06-06,0.0,0.0,True
73,69,CARD0000000073,CREDIT_PLATINUM,ACTIVE,2024-02-10,2029-02-08,120000000.0,82.56,True
74,70,CARD0000000074,CREDIT_PLATINUM,ACTIVE,2026-01-11,2031-01-10,80000000.0,32.01,True
75,71,CARD0000000075,CREDIT_GOLD,ACTIVE,2026-02-11,2031-02-10,50000000.0,21.25,True
76,72,CARD0000000076,CREDIT_GOLD,EXPIRED,2021-07-30,2026-07-29,300000000.0,60.51,True
77,73,CARD0000000077,DEBIT,ACTIVE,2023-10-16,2028-10-14,0.0,0.0,True
78,75,CARD0000000078,CREDIT_PLATINUM,ACTIVE,2024-11-04,2029-11-03,50000000.0,25.88,True
79,75,CARD0000000079,CREDIT_STANDARD,ACTIVE,2025-03-15,2030-03-14,50000000.0,65.61,True
80,79,CARD0000000080,DEBIT,ACTIVE,2025-06-23,2030-06-22,0.0,0.0,True
81,80,CARD0000000081,DEBIT,EXPIRED,2021-04-24,2026-04-23,0.0,0.0,True
82,81,CARD0000000082,CREDIT_GOLD,BLOCKED,2023-03-26,2028-03-24,120000000.0,6.06,True
83,81,CARD0000000083,CREDIT_GOLD,ACTIVE,2025-05-01,2030-04-30,300000000.0,4.01,True
84,83,CARD0000000084,CREDIT_GOLD,ACTIVE,2025-03-21,2030-03-20,200000000.0,51.3,True
85,85,CARD0000000085,CREDIT_GOLD,ACTIVE,2025-01-10,2030-01-09,80000000.0,43.55,True
86,86,CARD0000000086,DEBIT,ACTIVE,2022-09-26,2027-09-25,0.0,0.0,True
87,88,CARD0000000087,CREDIT_STANDARD,ACTIVE,2022-10-23,2027-10-22,200000000.0,48.81,False
88,89,CARD0000000088,DEBIT,BLOCKED,2022-02-03,2027-02-02,0.0,0.0,True
89,89,CARD0000000089,DEBIT,ACTIVE,2023-02-08,2028-02-07,0.0,0.0,True
90,91,CARD0000000090,CREDIT_GOLD,ACTIVE,2023-08-11,2028-08-09,30000000.0,34.82,True
91,93,CARD0000000091,DEBIT,ACTIVE,2023-10-22,2028-10-20,0.0,0.0,True
92,95,CARD0000000092,CREDIT_STANDARD,ACTIVE,2023-10-06,2028-10-04,200000000.0,31.53,True
93,96,CARD0000000093,DEBIT,ACTIVE,2026-02-14,2031-02-13,0.0,0.0,True
94,97,CARD0000000094,DEBIT,ACTIVE,2022-08-04,2027-08-03,0.0,0.0,True
95,98,CARD0000000095,CREDIT_GOLD,ACTIVE,2025-01-18,2030-01-17,80000000.0,22.83,True
96,99,CARD0000000096,CREDIT_PLATINUM,ACTIVE,2021-09-07,2026-09-06,120000000.0,73.65,True
97,100,CARD0000000097,DEBIT,ACTIVE,2024-03-23,2029-03-22,0.0,0.0,True
98,101,CARD0000000098,DEBIT,ACTIVE,2025-12-23,2030-12-22,0.0,0.0,True
99,102,CARD0000000099,DEBIT,ACTIVE,2024-04-03,2029-04-02,0.0,0.0,True
100,102,CARD0000000100,CREDIT_PLATINUM,ACTIVE,2025-07-24,2030-07-23,80000000.0,6.73,True
101,104,CARD0000000101,CREDIT_GOLD,ACTIVE,2022-06-25,2027-06-24,80000000.0,50.92,True
102,105,CARD0000000102,CREDIT_GOLD,ACTIVE,2026-02-16,2031-02-15,20000000.0,57.15,True
103,105,CARD0000000103,DEBIT,ACTIVE,2022-12-15,2027-12-14,0.0,0.0,True
104,107,CARD0000000104,CREDIT_GOLD,EXPIRED,2021-05-13,2026-05-12,200000000.0,26.19,True
105,109,CARD0000000105,CREDIT_GOLD,ACTIVE,2021-10-19,2026-10-18,200000000.0,76.58,True
106,109,CARD0000000106,CREDIT_GOLD,ACTIVE,2024-09-28,2029-09-27,300000000.0,49.54,True
107,110,CARD0000000107,DEBIT,ACTIVE,2022-02-20,2027-02-19,0.0,0.0,True
108,112,CARD0000000108,CREDIT_PLATINUM,ACTIVE,2023-08-01,2028-07-30,50000000.0,5.19,True
109,113,CARD0000000109,DEBIT,ACTIVE,2025-11-24,2030-11-23,0.0,0.0,True
110,113,CARD0000000110,CREDIT_STANDARD,ACTIVE,2025-07-09,2030-07-08,300000000.0,33.73,True
111,117,CARD0000000111,CREDIT_STANDARD,ACTIVE,2023-06-12,2028-06-10,20000000.0,5.77,True
112,118,CARD0000000112,CREDIT_STANDARD,ACTIVE,2026-04-27,2031-04-26,80000000.0,4.59,True
113,119,CARD0000000113,DEBIT,ACTIVE,2025-05-20,2030-05-19,0.0,0.0,True
114,120,CARD0000000114,CREDIT_STANDARD,ACTIVE,2022-09-09,2027-09-08,50000000.0,57.57,True
115,121,CARD0000000115,CREDIT_GOLD,ACTIVE,2025-01-08,2030-01-07,300000000.0,28.13,True
116,123,CARD0000000116,CREDIT_PLATINUM,ACTIVE,2023-01-07,2028-01-06,50000000.0,37.19,False
117,124,CARD0000000117,DEBIT,ACTIVE,2024-02-09,2029-02-07,0.0,0.0,True
118,126,CARD0000000118,CREDIT_STANDARD,ACTIVE,2023-03-22,2028-03-20,30000000.0,26.26,True
119,126,CARD0000000119,DEBIT,ACTIVE,2024-01-22,2029-01-20,0.0,0.0,True
120,127,CARD0000000120,CREDIT_PLATINUM,ACTIVE,2024-01-31,2029-01-29,30000000.0,37.51,True
121,128,CARD0000000121,CREDIT_STANDARD,ACTIVE,2021-10-19,2026-10-18,50000000.0,25.94,True
122,128,CARD0000000122,CREDIT_PLATINUM,ACTIVE,2021-12-06,2026-12-05,50000000.0,15.55,True
123,129,CARD0000000123,CREDIT_STANDARD,EXPIRED,2021-03-20,2026-03-19,120000000.0,80.47,True
124,130,CARD0000000124,CREDIT_GOLD,ACTIVE,2025-05-05,2030-05-04,30000000.0,15.09,False
125,133,CARD0000000125,DEBIT,ACTIVE,2024-05-11,2029-05-10,0.0,0.0,True
126,135,CARD0000000126,CREDIT_PLATINUM,ACTIVE,2023-03-07,2028-03-05,80000000.0,48.64,True
127,135,CARD0000000127,DEBIT,EXPIRED,2021-06-28,2026-06-27,0.0,0.0,True
128,136,CARD0000000128,CREDIT_PLATINUM,ACTIVE,2026-02-16,2031-02-15,20000000.0,74.21,True
129,137,CARD0000000129,CREDIT_STANDARD,ACTIVE,2024-03-05,2029-03-04,30000000.0,32.84,True
130,137,CARD0000000130,CREDIT_GOLD,ACTIVE,2023-04-30,2028-04-28,300000000.0,41.03,True
131,138,CARD0000000131,DEBIT,ACTIVE,2025-01-01,2029-12-31,0.0,0.0,True
132,139,CARD0000000132,CREDIT_PLATINUM,ACTIVE,2024-02-02,2029-01-31,20000000.0,70.01,True
133,140,CARD0000000133,CREDIT_GOLD,ACTIVE,2021-09-25,2026-09-24,200000000.0,83.39,True
134,140,CARD0000000134,CREDIT_PLATINUM,EXPIRED,2021-08-07,2026-08-06,300000000.0,63.93,True
135,141,CARD0000000135,CREDIT_PLATINUM,ACTIVE,2026-04-28,2031-04-27,200000000.0,38.57,False
136,142,CARD0000000136,DEBIT,ACTIVE,2025-07-19,2030-07-18,0.0,0.0,True
137,142,CARD0000000137,DEBIT,BLOCKED,2022-07-03,2027-07-02,0.0,0.0,True
138,144,CARD0000000138,DEBIT,ACTIVE,2023-11-21,2028-11-19,0.0,0.0,True
139,145,CARD0000000139,CREDIT_STANDARD,ACTIVE,2024-08-20,2029-08-19,300000000.0,69.86,True
140,145,CARD0000000140,CREDIT_STANDARD,ACTIVE,2025-11-28,2030-11-27,200000000.0,41.4,True
141,148,CARD0000000141,CREDIT_STANDARD,ACTIVE,2023-09-10,2028-09-08,30000000.0,48.63,True
142,148,CARD0000000142,CREDIT_PLATINUM,EXPIRED,2021-05-21,2026-05-20,20000000.0,84.92,True
143,149,CARD0000000143,CREDIT_STANDARD,ACTIVE,2023-07-28,2028-07-26,300000000.0,35.46,True
144,151,CARD0000000144,DEBIT,BLOCKED,2022-09-24,2027-09-23,0.0,0.0,True
145,152,CARD0000000145,CREDIT_STANDARD,ACTIVE,2025-08-26,2030-08-25,80000000.0,71.91,True
146,153,CARD0000000146,CREDIT_STANDARD,ACTIVE,2023-04-08,2028-04-06,300000000.0,28.58,True
147,154,CARD0000000147,DEBIT,ACTIVE,2024-12-22,2029-12-21,0.0,0.0,True
148,155,CARD0000000148,DEBIT,EXPIRED,2021-06-17,2026-06-16,0.0,0.0,True
149,158,CARD0000000149,DEBIT,ACTIVE,2023-12-15,2028-12-13,0.0,0.0,True
150,158,CARD0000000150,CREDIT_PLATINUM,EXPIRED,2021-03-12,2026-03-11,200000000.0,9.0,True
151,159,CARD0000000151,DEBIT,ACTIVE,2022-08-26,2027-08-25,0.0,0.0,True
152,160,CARD0000000152,CREDIT_GOLD,ACTIVE,2023-02-16,2028-02-15,50000000.0,63.49,True
153,161,CARD0000000153,DEBIT,ACTIVE,2022-01-08,2027-01-07,0.0,0.0,True
154,164,CARD0000000154,DEBIT,ACTIVE,2022-11-08,2027-11-07,0.0,0.0,True
155,167,CARD0000000155,CREDIT_STANDARD,ACTIVE,2023-11-13,2028-11-11,50000000.0,42.49,True
156,168,CARD0000000156,DEBIT,ACTIVE,2024-03-10,2029-03-09,0.0,0.0,True
157,170,CARD0000000157,DEBIT,ACTIVE,2025-11-24,2030-11-23,0.0,0.0,True
158,172,CARD0000000158,CREDIT_PLATINUM,ACTIVE,2023-05-29,2028-05-27,200000000.0,22.38,True
159,173,CARD0000000159,CREDIT_STANDARD,BLOCKED,2022-07-05,2027-07-04,120000000.0,20.64,True
160,173,CARD0000000160,CREDIT_PLATINUM,ACTIVE,2024-10-19,2029-10-18,50000000.0,6.72,True
161,175,CARD0000000161,CREDIT_STANDARD,EXPIRED,2021-08-17,2026-08-16,30000000.0,33.35,True
162,176,CARD0000000162,DEBIT,ACTIVE,2022-05-02,2027-05-01,0.0,0.0,True
163,176,CARD0000000163,CREDIT_STANDARD,ACTIVE,2024-07-23,2029-07-22,120000000.0,60.49,True
164,177,CARD0000000164,CREDIT_STANDARD,ACTIVE,2024-02-06,2029-02-04,120000000.0,44.99,True
165,179,CARD0000000165,DEBIT,ACTIVE,2023-04-01,2028-03-30,0.0,0.0,True
166,180,CARD0000000166,CREDIT_PLATINUM,ACTIVE,2024-03-24,2029-03-23,50000000.0,2.66,False
167,180,CARD0000000167,DEBIT,ACTIVE,2022-08-06,2027-08-05,0.0,0.0,True
168,181,CARD0000000168,CREDIT_STANDARD,ACTIVE,2023-03-09,2028-03-07,300000000.0,17.46,True
169,181,CARD0000000169,DEBIT,ACTIVE,2025-10-03,2030-10-02,0.0,0.0,True
170,182,CARD0000000170,DEBIT,ACTIVE,2023-08-04,2028-08-02,0.0,0.0,True
171,183,CARD0000000171,DEBIT,ACTIVE,2022-12-12,2027-12-11,0.0,0.0,True
172,184,CARD0000000172,DEBIT,ACTIVE,2023-11-04,2028-11-02,0.0,0.0,True
173,185,CARD0000000173,DEBIT,ACTIVE,2022-07-09,2027-07-08,0.0,0.0,True
174,185,CARD0000000174,DEBIT,EXPIRED,2021-04-17,2026-04-16,0.0,0.0,True
175,186,CARD0000000175,DEBIT,ACTIVE,2025-06-06,2030-06-05,0.0,0.0,True
176,187,CARD0000000176,CREDIT_PLATINUM,ACTIVE,2025-07-11,2030-07-10,200000000.0,82.72,True
177,187,CARD0000000177,DEBIT,ACTIVE,2022-05-14,2027-05-13,0.0,0.0,True
178,188,CARD0000000178,CREDIT_GOLD,ACTIVE,2022-02-13,2027-02-12,200000000.0,16.6,True
179,188,CARD0000000179,CREDIT_STANDARD,ACTIVE,2024-04-09,2029-04-08,20000000.0,76.68,True
180,189,CARD0000000180,DEBIT,ACTIVE,2022-05-17,2027-05-16,0.0,0.0,True
181,190,CARD0000000181,CREDIT_GOLD,ACTIVE,2022-01-06,2027-01-05,20000000.0,6.67,True
182,192,CARD0000000182,CREDIT_GOLD,BLOCKED,2024-07-23,2029-07-22,300000000.0,14.06,False
183,192,CARD0000000183,DEBIT,ACTIVE,2024-10-09,2029-10-08,0.0,0.0,True
184,193,CARD0000000184,CREDIT_STANDARD,ACTIVE,2026-04-16,2031-04-15,200000000.0,58.72,True
185,195,CARD0000000185,CREDIT_PLATINUM,ACTIVE,2026-06-14,2031-06-13,30000000.0,29.88,True
186,196,CARD0000000186,DEBIT,EXPIRED,2021-07-12,2026-07-11,0.0,0.0,True
187,197,CARD0000000187,CREDIT_GOLD,ACTIVE,2023-08-13,2028-08-11,50000000.0,75.82,True
188,198,CARD0000000188,CREDIT_STANDARD,ACTIVE,2025-11-16,2030-11-15,300000000.0,50.94,True
189,199,CARD0000000189,CREDIT_STANDARD,ACTIVE,2023-06-10,2028-06-08,30000000.0,23.5,False
190,200,CARD0000000190,DEBIT,ACTIVE,2026-03-03,2031-03-02,0.0,0.0,True
191,201,CARD0000000191,DEBIT,ACTIVE,2025-11-02,2030-11-01,0.0,0.0,True
192,202,CARD0000000192,CREDIT_STANDARD,ACTIVE,2024-10-31,2029-10-30,50000000.0,44.41,True
193,203,CARD0000000193,DEBIT,ACTIVE,2025-11-20,2030-11-19,0.0,0.0,True
194,204,CARD0000000194,DEBIT,ACTIVE,2026-05-02,2031-05-01,0.0,0.0,True
195,205,CARD0000000195,CREDIT_STANDARD,ACTIVE,2025-12-18,2030-12-17,20000000.0,61.83,True
196,205,CARD0000000196,CREDIT_PLATINUM,ACTIVE,2023-02-03,2028-02-02,30000000.0,26.14,True
197,207,CARD0000000197,DEBIT,ACTIVE,2026-01-08,2031-01-07,0.0,0.0,True
198,208,CARD0000000198,CREDIT_PLATINUM,ACTIVE,2024-05-07,2029-05-06,200000000.0,0.8,True
199,209,CARD0000000199,CREDIT_STANDARD,ACTIVE,2025-11-04,2030-11-03,200000000.0,70.91,True
200,212,CARD0000000200,DEBIT,EXPIRED,2021-07-10,2026-07-09,0.0,0.0,True
201,214,CARD0000000201,DEBIT,ACTIVE,2026-04-28,2031-04-27,0.0,0.0,True
202,217,CARD0000000202,CREDIT_GOLD,ACTIVE,2026-02-26,2031-02-25,80000000.0,23.24,False
203,218,CARD0000000203,CREDIT_STANDARD,EXPIRED,2021-05-03,2026-05-02,300000000.0,70.35,True
204,219,CARD0000000204,DEBIT,EXPIRED,2021-04-16,2026-04-15,0.0,0.0,True
205,220,CARD0000000205,CREDIT_PLATINUM,ACTIVE,2024-03-15,2029-03-14,50000000.0,34.7,False
206,220,CARD0000000206,CREDIT_PLATINUM,EXPIRED,2021-06-08,2026-06-07,80000000.0,45.22,False
207,221,CARD0000000207,CREDIT_GOLD,ACTIVE,2025-07-16,2030-07-15,30000000.0,9.8,True
208,221,CARD0000000208,CREDIT_PLATINUM,BLOCKED,2026-03-01,2031-02-28,200000000.0,25.18,True
209,222,CARD0000000209,CREDIT_PLATINUM,ACTIVE,2025-02-28,2030-02-27,300000000.0,84.83,True
210,224,CARD0000000210,CREDIT_PLATINUM,ACTIVE,2023-08-06,2028-08-04,120000000.0,22.45,True
211,226,CARD0000000211,DEBIT,ACTIVE,2025-01-08,2030-01-07,0.0,0.0,True
212,227,CARD0000000212,DEBIT,ACTIVE,2023-02-18,2028-02-17,0.0,0.0,True
213,227,CARD0000000213,CREDIT_GOLD,ACTIVE,2025-08-20,2030-08-19,30000000.0,77.36,True
214,229,CARD0000000214,CREDIT_PLATINUM,ACTIVE,2024-01-10,2029-01-08,30000000.0,65.53,True
215,230,CARD0000000215,CREDIT_PLATINUM,ACTIVE,2021-12-11,2026-12-10,120000000.0,55.32,True
216,232,CARD0000000216,DEBIT,ACTIVE,2025-05-03,2030-05-02,0.0,0.0,True
217,232,CARD0000000217,DEBIT,ACTIVE,2022-10-30,2027-10-29,0.0,0.0,True
218,234,CARD0000000218,DEBIT,ACTIVE,2023-09-11,2028-09-09,0.0,0.0,True
219,236,CARD0000000219,DEBIT,ACTIVE,2021-09-17,2026-09-16,0.0,0.0,True
220,237,CARD0000000220,CREDIT_PLATINUM,ACTIVE,2025-12-04,2030-12-03,200000000.0,43.24,True
221,239,CARD0000000221,DEBIT,ACTIVE,2024-01-20,2029-01-18,0.0,0.0,True
222,239,CARD0000000222,CREDIT_STANDARD,ACTIVE,2022-12-09,2027-12-08,300000000.0,43.97,True
223,240,CARD0000000223,CREDIT_PLATINUM,EXPIRED,2021-06-15,2026-06-14,80000000.0,48.14,True
224,241,CARD0000000224,DEBIT,ACTIVE,2022-03-17,2027-03-16,0.0,0.0,True
225,241,CARD0000000225,CREDIT_GOLD,ACTIVE,2023-08-19,2028-08-17,20000000.0,24.47,True
226,242,CARD0000000226,DEBIT,ACTIVE,2025-02-12,2030-02-11,0.0,0.0,True
227,244,CARD0000000227,CREDIT_GOLD,ACTIVE,2023-07-13,2028-07-11,200000000.0,61.39,True
228,245,CARD0000000228,DEBIT,ACTIVE,2024-03-05,2029-03-04,0.0,0.0,True
229,245,CARD0000000229,DEBIT,ACTIVE,2024-02-26,2029-02-24,0.0,0.0,True
230,246,CARD0000000230,DEBIT,ACTIVE,2021-09-23,2026-09-22,0.0,0.0,True
231,246,CARD0000000231,DEBIT,ACTIVE,2026-05-24,2031-05-23,0.0,0.0,True
232,247,CARD0000000232,CREDIT_PLATINUM,ACTIVE,2021-10-15,2026-10-14,120000000.0,31.64,True
233,248,CARD0000000233,CREDIT_PLATINUM,ACTIVE,2025-09-13,2030-09-12,50000000.0,54.4,True
234,249,CARD0000000234,CREDIT_GOLD,ACTIVE,2023-06-28,2028-06-26,300000000.0,63.63,True
235,252,CARD0000000235,CREDIT_STANDARD,ACTIVE,2023-12-16,2028-12-14,120000000.0,76.04,True
236,253,CARD0000000236,DEBIT,ACTIVE,2024-07-04,2029-07-03,0.0,0.0,True
237,255,CARD0000000237,CREDIT_PLATINUM,ACTIVE,2026-02-20,2031-02-19,120000000.0,27.59,True
238,256,CARD0000000238,DEBIT,ACTIVE,2024-12-15,2029-12-14,0.0,0.0,True
239,257,CARD0000000239,DEBIT,ACTIVE,2022-08-31,2027-08-30,0.0,0.0,True
240,258,CARD0000000240,CREDIT_GOLD,ACTIVE,2021-09-09,2026-09-08,200000000.0,20.98,True
241,259,CARD0000000241,CREDIT_PLATINUM,ACTIVE,2024-01-09,2029-01-07,200000000.0,31.77,True
242,259,CARD0000000242,CREDIT_PLATINUM,ACTIVE,2023-03-12,2028-03-10,20000000.0,20.94,True
243,261,CARD0000000243,CREDIT_STANDARD,ACTIVE,2024-12-12,2029-12-11,300000000.0,14.69,False
244,263,CARD0000000244,DEBIT,ACTIVE,2023-12-23,2028-12-21,0.0,0.0,True
245,263,CARD0000000245,CREDIT_PLATINUM,ACTIVE,2024-12-24,2029-12-23,30000000.0,18.27,False
246,266,CARD0000000246,DEBIT,ACTIVE,2025-01-23,2030-01-22,0.0,0.0,True
247,268,CARD0000000247,DEBIT,ACTIVE,2026-03-03,2031-03-02,0.0,0.0,True
248,268,CARD0000000248,CREDIT_STANDARD,ACTIVE,2022-05-23,2027-05-22,200000000.0,17.34,False
249,269,CARD0000000249,CREDIT_STANDARD,EXPIRED,2021-05-23,2026-05-22,20000000.0,69.59,True
250,270,CARD0000000250,DEBIT,ACTIVE,2025-06-19,2030-06-18,0.0,0.0,True
251,270,CARD0000000251,CREDIT_GOLD,ACTIVE,2025-11-02,2030-11-01,300000000.0,24.45,False
252,271,CARD0000000252,CREDIT_GOLD,BLOCKED,2026-06-10,2031-06-09,300000000.0,44.33,True
253,272,CARD0000000253,DEBIT,ACTIVE,2024-11-14,2029-11-13,0.0,0.0,True
254,274,CARD0000000254,CREDIT_GOLD,ACTIVE,2024-07-12,2029-07-11,120000000.0,69.65,False
255,275,CARD0000000255,CREDIT_GOLD,ACTIVE,2026-02-13,2031-02-12,50000000.0,4.83,True
256,275,CARD0000000256,CREDIT_PLATINUM,EXPIRED,2021-05-27,2026-05-26,30000000.0,3.42,True
257,277,CARD0000000257,DEBIT,EXPIRED,2021-07-28,2026-07-27,0.0,0.0,True
258,278,CARD0000000258,DEBIT,ACTIVE,2025-04-11,2030-04-10,0.0,0.0,True
259,279,CARD0000000259,DEBIT,ACTIVE,2021-12-19,2026-12-18,0.0,0.0,True
260,279,CARD0000000260,CREDIT_GOLD,ACTIVE,2021-09-05,2026-09-04,80000000.0,38.12,True
